session,medium,sitter,statements,rating
1,1,1,55,3.33
2,2,1,92,3.72
3,3,1,6,1.52
4,4,1,24,3.67
5,5,1,80,5.24
2,1,2,62,2.88
3,2,2,56,4.15
4,3,2,9,2.25
5,4,2,19,2.58
1,5,2,67,4.66
3,1,3,60,2.77
4,2,3,78,3.42
5,3,3,11,1.55
1,4,3,26,2.92
2,5,3,52,5.15
4,1,4,64,2.67
5,2,4,82,3.75
1,3,4,8,2.27
2,4,4,20,3.11
3,5,4,61,4.1
5,1,5,58,3.43
1,2,5,69,3.15
2,3,5,6,1.3
3,4,5,28,4.46
4,5,5,76,3.15
