Treatment,n.i,ybar.i,a.i,b.i,c.i,Lhat.1,Lhat.2,Lhat.3,var.1,var.2,var.3
LEC/MAT,16,4.931,3,0,0,14.793,0,0,0.5625,0,0
MON/KEY,16,7.708,-1,2,0,-7.708,15.416,0,0.0625,0.25,0
HMD/JPD,16,6.736,-1,-1,1,-6.736,-6.736,6.736,0.0625,0.0625,0.0625
HMD/WEA,16,6.875,-1,-1,-1,-6.875,-6.875,-6.875,0.0625,0.0625,0.0625
Sum,64,,0,0,0,-6.526,1.805,-0.139,0.75,0.375,0.125
