ExpNum,X1,X2,X3,Break,Soft
1,1,0,0,325.8,62
2,1,0,0,239.2,53
3,0,1,0,332.9,61.3
4,0,0,1,242.1,58.8
5,0.66667,0.33333,0,247.3,53.3
6,0.33333,0.66667,0,258.9,53.3
7,0.66667,0,0.33333,342.1,61.5
8,0.66667,0,0.33333,343,57.8
9,0.33333,0.33333,0.33333,292.5,53.8
10,0,0.66667,0.33333,299.9,52.8
11,0.33333,0,0.66667,399.2,61.3
12,0,0.33333,0.66667,407.6,58
13,0.66667,0.16667,0.16667,258.9,53.3
14,0.16667,0.66667,0.16667,326,55
15,0.16667,0.16667,0.66667,325.1,53.8
16,0.16667,0.16667,0.66667,436.8,59
