"","diff","lwr","upr","p.adj"
"Regular:Plain:Two-Teflon:Twill:One",75.0002,34.1221209836348,115.878279016365,1.71477504418149e-07
"Water:Plain:Two-Teflon:Twill:One",62.8999999999999,22.0219209836347,103.778079016365,2.56675922120086e-05
"Soil:Plain:Two-Teflon:Twill:One",49.9,9.02192098363483,90.7780790163652,0.00315584386274903
"Regular:Twill:Two-Teflon:Twill:One",57.5001999999999,16.6221209836347,98.3782790163651,0.000207531641844616
"Water:Twill:Two-Teflon:Twill:One",68.5999999999999,27.7219209836347,109.478079016365,2.54032015845063e-06
"Soil:Twill:Two-Teflon:Twill:One",100.2002,59.3221209836348,141.078279016365,4.30717905786082e-10
"Teflon:Twill:Two-Teflon:Twill:One",-44.8997999999999,-85.7778790163651,-4.02172098363474,0.015740187512761
"Regular:Plain:Three-Teflon:Twill:One",86.3999999999999,45.5219209836347,127.278079016365,1.59585344938762e-09
"Water:Plain:Three-Teflon:Twill:One",58.8001999999999,17.9221209836347,99.6782790163651,0.000126780264038562
"Teflon:Plain:Three-Teflon:Twill:One",-59.4997999999999,-100.377879016365,-18.6217209836347,9.69683985247993e-05
"Regular:Twill:Three-Teflon:Twill:One",42.6999999999999,1.8219209836347,83.5780790163651,0.0301241568774429
"Water:Twill:Three-Teflon:Twill:One",43.7001999999999,2.8221209836347,84.5782790163651,0.0225339263625428
"Soil:Twill:Three-Teflon:Twill:One",106.5002,65.6221209836349,147.378279016365,4.28485358305863e-10
"Teflon:Twill:Three-Teflon:Twill:One",-72.9999999999999,-113.878079016365,-32.1219209836347,4.01784945314176e-07
"Teflon:Plain:Two-Regular:Plain:Two",-106.7,-147.578079016365,-65.8219209836347,4.28469482116611e-10
"Teflon:Twill:Two-Regular:Plain:Two",-119.9,-160.778079016365,-79.0219209836347,4.28257207474303e-10
"Soil:Plain:Three-Regular:Plain:Two",-47.6998,-88.5778790163652,-6.82172098363475,0.00653460083379209
"Teflon:Plain:Three-Regular:Plain:Two",-134.5,-175.378079016365,-93.6219209836347,4.28143409614279e-10
"Teflon:Twill:Three-Regular:Plain:Two",-148.0002,-188.878279016365,-107.122120983635,4.2812453582286e-10
"Teflon:Plain:Two-Water:Plain:Two",-94.5997999999999,-135.477879016365,-53.7217209836347,4.57948123866458e-10
"Teflon:Twill:Two-Water:Plain:Two",-107.7998,-148.677879016365,-66.9217209836347,4.28410529274004e-10
"Teflon:Plain:Three-Water:Plain:Two",-122.3998,-163.277879016365,-81.5217209836347,4.28231561322434e-10
"Soil:Twill:Three-Water:Plain:Two",43.6002000000001,2.72212098363494,84.4782790163653,0.023206138928334
"Teflon:Twill:Three-Water:Plain:Two",-135.9,-176.778079016365,-95.0219209836347,4.28138413610668e-10
"Teflon:Plain:Two-Soil:Plain:Two",-81.5998,-122.477879016365,-40.7217209836348,1.01766788329627e-08
"Soil:Twill:Two-Soil:Plain:Two",50.3002,9.42212098363478,91.1782790163652,0.00275562457919654
"Teflon:Twill:Two-Soil:Plain:Two",-94.7998,-135.677879016365,-53.9217209836348,4.55392168419166e-10
"Teflon:Plain:Three-Soil:Plain:Two",-109.3998,-150.277879016365,-68.5217209836348,4.28375446226426e-10
"Soil:Twill:Three-Soil:Plain:Two",56.6002000000001,15.7221209836349,97.4782790163653,0.000290690623823808
"Teflon:Twill:Three-Soil:Plain:Two",-122.9,-163.778079016365,-82.0219209836348,4.28222124426725e-10
"Regular:Twill:Two-Teflon:Plain:Two",89.1999999999998,48.3219209836346,130.078079016365,7.63171303930221e-10
"Water:Twill:Two-Teflon:Plain:Two",100.2998,59.4217209836347,141.177879016365,4.30612656643348e-10
"Soil:Twill:Two-Teflon:Plain:Two",131.9,91.0219209836347,172.778079016365,4.28154844911433e-10
"Regular:Plain:Three-Teflon:Plain:Two",118.0998,77.2217209836346,158.977879016365,4.28283186693079e-10
"Water:Plain:Three-Teflon:Plain:Two",90.4999999999999,49.6219209836347,131.378079016365,6.15406836601551e-10
"Soil:Plain:Three-Teflon:Plain:Two",59.0001999999999,18.1221209836347,99.8782790163652,0.000117450785007911
"Regular:Twill:Three-Teflon:Plain:Two",74.3997999999998,33.5217209836346,115.277879016365,2.21571766712003e-07
"Water:Twill:Three-Teflon:Plain:Two",75.3999999999998,34.5219209836346,116.278079016365,1.44530672652188e-07
"Soil:Twill:Three-Teflon:Plain:Two",138.2,97.3219209836348,179.078079016365,4.2813219636173e-10
